"VMName","MetricId","TimestampUtc","SampleIntervalSeconds","RawValue","ConvertedValue","Unit","Disk instance","SegmentLevel","SegmentIntervalMinutes"
"Test","cpu.ready.summation","8/20/2026 4:06:00 AM","20","29","1.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:06:20 AM","20","14","0.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:06:40 AM","20","22","1.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:07:00 AM","20","49","2.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:07:20 AM","20","32","1.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:07:40 AM","20","55","2.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:08:00 AM","20","72","3.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:08:20 AM","20","111","5.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:08:40 AM","20","77","3.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:09:00 AM","20","83","4.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:09:20 AM","20","64","3.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:09:40 AM","20","62","3.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:10:00 AM","20","64","3.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:10:20 AM","20","63","3.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:10:40 AM","20","70","3.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:11:00 AM","20","79","3.95","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:11:20 AM","20","69","3.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:11:40 AM","20","65","3.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:12:00 AM","20","63","3.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:12:20 AM","20","65","3.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:12:40 AM","20","67","3.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:13:00 AM","20","66","3.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:13:20 AM","20","71","3.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:13:40 AM","20","68","3.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:14:00 AM","20","81","4.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:14:20 AM","20","98","4.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:14:40 AM","20","53","2.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:15:00 AM","20","69","3.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:15:20 AM","20","63","3.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:15:40 AM","20","69","3.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:16:00 AM","20","57","2.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:16:20 AM","20","82","4.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:16:40 AM","20","64","3.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:17:00 AM","20","77","3.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:17:20 AM","20","68","3.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:17:40 AM","20","76","3.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:18:00 AM","20","61","3.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:18:20 AM","20","38","1.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:18:40 AM","20","55","2.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:19:00 AM","20","34","1.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:19:20 AM","20","107","5.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:19:40 AM","20","93","4.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:20:00 AM","20","77","3.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:20:20 AM","20","59","2.95","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:20:40 AM","20","92","4.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:21:00 AM","20","76","3.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:21:20 AM","20","95","4.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:21:40 AM","20","83","4.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:22:00 AM","20","83","4.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:22:20 AM","20","78","3.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:22:40 AM","20","68","3.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:23:00 AM","20","100","5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:23:20 AM","20","78","3.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:23:40 AM","20","88","4.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:24:00 AM","20","64","3.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:24:20 AM","20","82","4.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:24:40 AM","20","54","2.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:25:00 AM","20","53","2.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:25:20 AM","20","52","2.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:25:40 AM","20","52","2.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:26:00 AM","20","51","2.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:26:20 AM","20","61","3.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:26:40 AM","20","102","5.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:27:00 AM","20","52","2.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:27:20 AM","20","27","1.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:27:40 AM","20","26","1.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:28:00 AM","20","65","3.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:28:20 AM","20","89","4.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:28:40 AM","20","65","3.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:29:00 AM","20","66","3.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:29:20 AM","20","71","3.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:29:40 AM","20","76","3.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:30:00 AM","20","157","7.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:30:20 AM","20","125","6.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:30:40 AM","20","73","3.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:31:00 AM","20","69","3.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:31:20 AM","20","94","4.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:31:40 AM","20","72","3.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:32:00 AM","20","77","3.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:32:20 AM","20","88","4.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:32:40 AM","20","74","3.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:33:00 AM","20","55","2.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:33:20 AM","20","56","2.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:33:40 AM","20","76","3.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:34:00 AM","20","76","3.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:34:20 AM","20","80","4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:34:40 AM","20","74","3.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:35:00 AM","20","75","3.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:35:20 AM","20","65","3.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:35:40 AM","20","71","3.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:36:00 AM","20","65","3.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:36:20 AM","20","119","5.95","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:36:40 AM","20","111","5.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:37:00 AM","20","112","5.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:37:20 AM","20","89","4.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:37:40 AM","20","86","4.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:38:00 AM","20","90","4.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:38:20 AM","20","53","2.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:38:40 AM","20","93","4.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:39:00 AM","20","77","3.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:39:20 AM","20","153","7.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:39:40 AM","20","140","7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:40:00 AM","20","100","5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:40:20 AM","20","105","5.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:40:40 AM","20","122","6.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:41:00 AM","20","112","5.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:41:20 AM","20","44","2.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:41:40 AM","20","71","3.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:42:00 AM","20","60","3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:42:20 AM","20","87","4.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:42:40 AM","20","38","1.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:43:00 AM","20","123","6.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:43:20 AM","20","118","5.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:43:40 AM","20","107","5.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:44:00 AM","20","87","4.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:44:20 AM","20","66","3.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:44:40 AM","20","72","3.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:45:00 AM","20","80","4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:45:20 AM","20","73","3.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:45:40 AM","20","75","3.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:46:00 AM","20","70","3.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:46:20 AM","20","141","7.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:46:40 AM","20","38","1.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:47:00 AM","20","35","1.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:47:20 AM","20","32","1.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:47:40 AM","20","102","5.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:48:00 AM","20","34","1.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:48:20 AM","20","104","5.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:48:40 AM","20","80","4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:49:00 AM","20","94","4.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:49:20 AM","20","97","4.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:49:40 AM","20","49","2.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:50:00 AM","20","74","3.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:50:20 AM","20","81","4.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:50:40 AM","20","89","4.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:51:00 AM","20","84","4.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:51:20 AM","20","102","5.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:51:40 AM","20","98","4.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:52:00 AM","20","86","4.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:52:20 AM","20","84","4.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:52:40 AM","20","91","4.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:53:00 AM","20","117","5.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:53:20 AM","20","115","5.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:53:40 AM","20","111","5.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:54:00 AM","20","81","4.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:54:20 AM","20","58","2.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:54:40 AM","20","71","3.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:55:00 AM","20","64","3.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:55:20 AM","20","58","2.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:55:40 AM","20","60","3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:56:00 AM","20","60","3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:56:20 AM","20","66","3.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:56:40 AM","20","73","3.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:57:00 AM","20","84","4.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:57:20 AM","20","100","5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:57:40 AM","20","93","4.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:58:00 AM","20","78","3.9","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:58:20 AM","20","82","4.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:58:40 AM","20","90","4.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:59:00 AM","20","111","5.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:59:20 AM","20","105","5.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 4:59:40 AM","20","107","5.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:00:00 AM","20","86","4.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:00:20 AM","20","125","6.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:00:40 AM","20","109","5.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:01:00 AM","20","82","4.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:01:20 AM","20","70","3.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:01:40 AM","20","103","5.15","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:02:00 AM","20","60","3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:02:20 AM","20","79","3.95","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:02:40 AM","20","66","3.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:03:00 AM","20","96","4.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:03:20 AM","20","80","4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:03:40 AM","20","120","6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:04:00 AM","20","105","5.25","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:04:20 AM","20","86","4.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:04:40 AM","20","109","5.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 5:05:00 AM","20","105","5.25","millisecond","","n/a","0"
